[2025-05-07 07:14:05 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-05-07 08:18:33 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1852 has been purged, triggered by action: save_post 
[2025-05-07 08:20:02 : INFO] - Cache for URL: https://www.medianet.srl/test-copertura-2025/ has been purged, triggered by action: save_post 
[2025-05-07 08:37:02 : INFO] - Cache for URL: https://www.medianet.srl/test-copertura-2025/ has been purged, triggered by action: save_post 
[2025-05-13 09:59:36 : INFO] - Cache for URL: https://www.medianet.srl/offerta-fibra-casa-medianet/ has been purged, triggered by action: save_post 
[2025-05-13 10:03:32 : INFO] - Cache for URL: https://www.medianet.srl/offerta-fibra-casa-medianet/ has been purged, triggered by action: save_post 
[2025-05-14 07:33:41 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-05-15 06:56:42 : INFO] - Cache for URL: https://www.medianet.srl/?p=1857 has been purged, triggered by action: save_post 
[2025-05-15 06:56:42 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1857 has been purged, triggered by action: save_post 
[2025-05-15 06:56:42 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-05-15 07:05:38 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-05-22 14:09:00 : INFO] - Cache for URL: https://www.medianet.srl/?p=1858 has been purged, triggered by action: save_post 
[2025-05-22 14:09:00 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1858 has been purged, triggered by action: save_post 
[2025-05-22 14:09:00 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-06-23 07:45:26 : INFO] - Cache for URL: https://www.medianet.srl/?p=1859 has been purged, triggered by action: save_post 
[2025-06-23 07:45:26 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1859 has been purged, triggered by action: save_post 
[2025-06-23 07:45:26 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-06-26 07:45:14 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-06-27 07:33:11 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1861 has been purged, triggered by action: save_post 
[2025-06-27 07:42:46 : INFO] - Cache for URL: https://www.medianet.srl/1861-2/ has been purged, triggered by action: save_post 
[2025-06-27 07:43:04 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:43:55 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:44:17 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:55:10 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:55:55 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:58:13 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 07:58:29 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:14:55 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:15:28 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:16:01 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:16:27 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:18:56 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:22:27 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:50:12 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:50:36 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:51:02 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 08:51:22 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:06:27 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:08:24 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:19:01 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:20:04 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:24:30 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:25:27 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:31:45 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:33:39 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:34:44 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:37:13 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:39:14 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:39:52 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:40:16 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:51:16 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:51:50 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-06-27 09:54:55 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-06-27 09:57:05 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-06-27 09:58:04 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-06-30 07:14:11 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-07-03 09:12:31 : INFO] - Cache for URL: https://www.medianet.srl/?p=1900 has been purged, triggered by action: save_post 
[2025-07-03 09:12:31 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1900 has been purged, triggered by action: save_post 
[2025-07-03 09:12:31 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-07-03 09:25:02 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-07-03 09:26:03 : INFO] - Cache for URL: https://www.medianet.srl/medianetopen/ has been purged, triggered by action: save_post 
[2025-07-10 07:35:35 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-10 07:44:38 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-10 08:05:28 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-24 09:26:47 : INFO] - Cache for URL: https://www.medianet.srl/?p=1903 has been purged, triggered by action: save_post 
[2025-07-24 09:26:47 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1903 has been purged, triggered by action: save_post 
[2025-07-24 09:26:47 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-07-24 09:27:16 : INFO] - Cache for URL: https://www.medianet.srl/connettivita-pregiata/ has been purged, triggered by action: save_post 
[2025-07-24 09:39:04 : INFO] - Cache for URL: https://www.medianet.srl/ has been purged, triggered by action: save_post 
[2025-07-24 09:39:16 : INFO] - Cache for URL: https://www.medianet.srl/ has been purged, triggered by action: save_post 
